"","x"
"1",-0.00162691424190573
"2",-0.000549470308936941
"3",-0.00226962279819889
"4",-0.00134686494002586
"5",-0.00158596532164998
"6",-0.00161584119448684
"7",0.000128136757313456
"8",-0.00168128059810338
"9",-0.000924500497358921
"10",0.000773753965922276
"11",-0.0132242566058807
"12",0.000836498160614537
"13",0.00351203442603713
"14",-0.00999912851329996
"15",0.0025131136491406
"16",0.00152713439942937
"17",0.00502976637767243
"18",0.00136369377831711
"19",0.00056671137478748
"20",0.000957205430928617
"21",0.0022130550378994
"22",-0.000400637544252375
"23",0.0025390790242102
"24",-0.00111167251770976
"25",0.000655340009620055
"26",0.0056413197038236
"27",-0.00355185324833749
"28",-0.00180781958789918
"29",0.001852760709696
"30",0.00737955348010972
"31",-0.00146592053743494
"32",0.00453437915342141
"33",0.00220614621882896
"34",-0.00504063162956741
"35",-0.000118160059744416
"36",0.00760056596749581
"37",0.00018733302280307
"38",0.00230756911040495
"39",0.00500264586076642
"40",0.00339175020298001
"41",0.00914754519595278
"42",0.00300268050898864
"43",-0.0020807023047979
"44",-0.0117201239463757
"45",-0.0037889063017162
"46",-0.0019623392263065
"47",0.00933953517153781
"48",-0.00926268818615053
"49",-0.000611414988994439
"50",-0.00924782167104083
"51",0.0046244084547562
"52",0.0115678638671485
"53",-0.00301927309552334
"54",0.00358780998520854
"55",-0.000785314062428722
"56",0.000241284517118566
"57",0.00535048742630287
"58",-0.00406265605674047
"59",0.00314024370898126
"60",-0.0032892696379621
"61",0.00574093756585863
"62",-0.00895871957345992
"63",-0.00616922219273553
"64",0.00289444271622493
"65",-0.00572611758531609
"66",0.00501888137592202
"67",-0.000441282179302715
"68",-0.00830189110349963
"69",0.0267758346444716
"70",-0.0125288369995764
"71",-0.0030526576334268
"72",-0.00445441930193029
"73",0.00113469943707976
"74",-0.00952301086849559
"75",0.00372025148288118
"76",0.00216878322571515
"77",0.00520511882160957
"78",0.00297637396290946
"79",0.00333508830999824
"80",-0.000844094110245313
"81",0.00627822399114421
"82",-0.0109692372527957
"83",-0.0213234989162127
"84",0.0196027337202405
"85",-0.010973134693864
"86",-0.00233697200887101
"87",-0.0146081649239603
"88",-0.00573460507043964
"89",0.0121749951555287
"90",0.0145485356348539
"91",-0.0125174625581201
"92",0.00294194248333426
"93",0.00282456845003455
"94",-0.00638673979573244
"95",-0.0117558392188972
"96",-0.00886364581769595
"97",-0.0143555568655
"98",0.00917959271819667
"99",-0.00182499181395011
"100",0.00390497767814211
"101",0.00929076520787307
"102",-0.0100505310924644
"103",-0.0202718230291331
"104",0.0146052087491622
"105",-0.00368825089701887
"106",0.0184757072567346
"107",-0.00779926511399595
"108",-0.0051723407606133
"109",-0.0192864899381469
"110",0.008737889374437
"111",0.00448140177812796
"112",0.00346062751072184
"113",-0.000105655861317931
"114",-0.00566194863729495
"115",0.00490445982945243
"116",-0.00244181434572381
"117",0.00590556077082941
"118",0.0123034359240835
"119",0.00246076699748736
"120",-0.00136206591979047
"121",0.00635172942154132
"122",0.000613200041317797
"123",-0.0196654725018638
"124",-0.000982785169068439
"125",0.0033275460110192
"126",-0.00706984433860622
"127",-0.00836962757871384
"128",-0.0059712396903035
"129",0.0025544540105169
"130",0.00465745778204429
"131",-0.00473742965080133
"132",0.00974627800803387
"133",0.0168856139337099
"134",-0.00649984148186783
"135",0.00544816929774935
"136",-0.0096137686218767
"137",0.00774599129570304
"138",0.00638746810807714
"139",0.00399238606940621
"140",-0.00801137738882351
"141",0.00930163212022893
"142",0.0106136471459172
"143",-0.00342341865451598
"144",-0.000739213054881256
"145",0.00626012090635133
"146",-0.00049985402880943
"147",-0.00443108925399226
"148",0.0131671813733987
"149",0.00223084513373717
"150",-0.00898234654054976
"151",0.0019898960786905
"152",0.00946237754322582
"153",-0.0268203187092961
"154",0.000414584235317111
"155",0.00345235982897462
"156",-0.0117299849209296
"157",0.00928765670163771
"158",-0.0127680149256183
"159",0.0100551204740461
"160",-0.00250288299534787
"161",0.0118117315934341
"162",-0.00593097057020065
"163",0.00769204227632821
"164",-0.00726791389533553
"165",0.000380628563353686
"166",-0.00496663166667119
"167",-0.0130083651848065
"168",-0.00121451778388256
"169",-0.00966101667250143
"170",0.00209097373364026
"171",0.0114158057721932
"172",0.000738999895998733
"173",-0.0101741687209593
"174",0.00597299147298335
"175",-0.000416895782444474
"176",-0.00150998533556413
"177",0.00381210657775597
"178",0.0168653472919377
"179",-0.00650381595098732
"180",0.00271733672566377
"181",-0.00191749123709523
"182",0.00100810581766537
"183",0.0068709328783065
"184",0.00371770133462977
"185",0.00394936848299495
"186",-0.00176283650746898
"187",0.007023377907453
"188",-0.00739399963891183
"189",-0.0126739051965473
"190",-0.00220995683558278
"191",0.0106658338520189
"192",-0.00458974091627305
"193",0.00593020361533516
"194",0.00732635783414898
"195",-0.00809205399328863
"196",-0.00527524893135996
"197",0.0037939321932337
"198",0.00755844780699089
"199",-0.00511329478713403
"200",0.000819332541604895
"201",-0.014514776706555
"202",-0.00080663622992898
"203",0.00845126538488174
"204",-0.0015665645040704
"205",-0.00234425085572055
"206",-0.00644201729299008
"207",-0.00702597198849722
"208",0.00793247660816516
"209",-0.00133697753841956
"210",0.00410767833751863
"211",-0.00789795383037442
"212",0.0039896754547271
"213",0.0110327752976584
"214",0.0248630539275984
"215",-0.0238815972276681
"216",0.00237632854413415
"217",0.0146837926000986
"218",-0.0112283989557505
"219",0.0108857262847331
"220",0.00812916206200617
"221",0.0086017774551612
"222",-0.0074137973913893
"223",-0.00098984101202594
"224",0.000787488683773286
"225",-0.0015889566782172
"226",-0.00958072368705862
"227",-0.0201678581830801
"228",-0.00855147057298904
"229",0.00509248794382507
"230",0.0321504056518975
"231",0.0127174044290273
"232",-0.0133894398342848
"233",-0.00487632336190219
"234",-0.0207055306929717
"235",-0.00882004970424197
"236",0.00488567400879225
"237",-0.00556919533172641
"238",-0.0113642434360957
"239",-0.0089553740362646
"240",-0.00517240430472939
"241",-0.0108814491328565
"242",0.00825320376348478
"243",0.0631131830400917
"244",-0.026392397980923
"245",0.101695767987491
"246",0.0185020825565997
"247",-0.00253819058797583
"248",-0.0137930546117174
"249",-0.00964132003763277
"250",0.0109340353535655
"251",0.0612971971487014
"252",-0.0570202009500935
"253",-0.0316746010452249
"254",0.0524307965461803
"255",0.0207314167142805
"256",-0.0508947965654016
"257",0.0134875519263677
"258",-0.00456662538668109
"259",-0.0194672998608439
"260",0.0158403433366853
"261",0.0240174413780876
"262",-0.030843207905473
"263",0.0196605273832366
"264",0.0103334535619851
"265",-0.0180365826410348
"266",0.0473440766798332
"267",-0.0335800269815483
